City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Tampa Bay,PDQ Chicken (St. Pete),2025-12-07T13:27:10.000Z,2025-12-07T14:23:17.000Z,completed,Honey Butter Sandwich Meal,1,Regular Fries,4.19,"",14.09,37.58,USD
Tampa Bay,PDQ Chicken (St. Pete),2025-12-07T13:27:10.000Z,2025-12-07T14:23:17.000Z,completed,Spicy PDQ Salad,1,Ranch,0.59,"",14.29,37.58,USD
Tampa Bay,PDQ Chicken (St. Pete),2025-12-07T13:27:10.000Z,2025-12-07T14:23:17.000Z,completed,Honey Butter Sandwich Meal,1,Creamy Garlic,0.49,"",14.09,37.58,USD
Tampa Bay,PDQ Chicken (St. Pete),2025-12-07T13:27:10.000Z,2025-12-07T14:23:17.000Z,completed,Honey Butter Sandwich Meal,1,Bleu Cheese,0.59,"",14.09,37.58,USD
Tampa Bay,PDQ Chicken (St. Pete),2025-12-07T13:27:10.000Z,2025-12-07T14:23:17.000Z,completed,Honey Butter Sandwich Meal,1,Toss in Garlic Parmesan,1.19,"",14.09,37.58,USD
Tampa Bay,PDQ Chicken (St. Pete),2025-12-07T13:27:10.000Z,2025-12-07T14:23:17.000Z,completed,Spicy PDQ Salad,1,Ranch,0.0,"",14.29,37.58,USD
Tampa Bay,7-Eleven (475 34Th St N),2025-11-28T13:46:16.000Z,2025-11-28T14:18:03.000Z,completed,"Airheads Candy Bars, Assorted (5 x 0.55 oz)",1,"",,"",2.59,17.98,USD
Tampa Bay,7-Eleven (475 34Th St N),2025-11-28T13:46:16.000Z,2025-11-28T14:18:03.000Z,completed,"Chester's Fries Corn Snacks, Flamin Hot (5.25 oz)",1,"",,"",3.39,17.98,USD
Tampa Bay,7-Eleven (475 34Th St N),2025-11-28T13:46:16.000Z,2025-11-28T14:18:03.000Z,completed,Nerds Gummy Clusters Candy (5 oz),2,"",,"",8.18,17.98,USD
Tampa Bay,Chick-fil-A (4241 4th St N),2025-11-28T13:44:19.000Z,2025-11-28T14:22:09.000Z,completed,Chick-fil-A® Sandwich Meal,1,"Meal Beverages, Medium Chick-fil-A Waffle Potato Fries®, Chick-fil-A Waffle Potato Fries®, Remove Pickles, Chick-fil-A® Sauce, Coca-Cola® Cherry, Buttery White Bun, Garden Herb Ranch Sauce, Medium Coca-Cola® Cherry, Chick-fil-A® Chicken Sandwich, Meal Sides",0.0,"",12.09,18.36,USD
Tampa Bay,Chick-fil-A (4241 4th St N),2025-11-28T13:44:19.000Z,2025-11-28T14:22:09.000Z,completed,Chick-fil-A® Sandwich Meal,1,Colby Jack Cheese,0.39,"",12.09,18.36,USD
Tampa Bay,Chick-fil-A (4241 4th St N),2025-11-28T13:44:19.000Z,2025-11-28T14:22:09.000Z,completed,Chick-fil-A® Sandwich Meal,1,Bacon,2.09,"",12.09,18.36,USD
Tampa Bay,7-Eleven (475 34Th St N),2025-11-08T15:03:21.000Z,2025-11-08T15:23:53.000Z,completed,"Airheads Candy Bars, Assorted (5 x 0.55 oz)",1,"",,"",2.59,19.95,USD
Tampa Bay,7-Eleven (475 34Th St N),2025-11-08T15:03:21.000Z,2025-11-08T15:23:53.000Z,completed,"Chester's Fries Corn Snacks, Flamin Hot (5.25 oz)",1,"",,"",3.39,19.95,USD
Tampa Bay,7-Eleven (475 34Th St N),2025-11-08T15:03:21.000Z,2025-11-08T15:23:53.000Z,completed,"Nerds Gummy Clusters Candy, Rainbow (5 oz)",2,"",,"",8.18,19.95,USD
Tampa Bay,7-Eleven (475 34Th St N),2025-11-08T15:03:21.000Z,2025-11-08T15:23:53.000Z,completed,"Coca-Cola Original Soda, Cherry (20 fl oz)",1,"",,"",3.29,19.95,USD
Tampa Bay,Chick-fil-A (4241 4th St N),2025-11-08T12:55:46.000Z,2025-11-08T13:27:06.000Z,completed,Chick-fil-A® Sandwich Meal,1,Bacon,2.09,"",12.09,22.63,USD
Tampa Bay,Chick-fil-A (4241 4th St N),2025-11-08T12:55:46.000Z,2025-11-08T13:27:06.000Z,completed,Chick-fil-A® Sandwich Meal,1,"Meal Beverages, Medium Chick-fil-A Waffle Potato Fries®, Chick-fil-A Waffle Potato Fries®, Remove Pickles, Chick-fil-A® Sauce, Coca-Cola® Cherry, Buttery White Bun, Medium Coca-Cola® Cherry, Meal Sides, Chick-fil-A® Chicken Sandwich",0.0,"",12.09,22.63,USD
Tampa Bay,Chick-fil-A (4241 4th St N),2025-11-08T12:55:46.000Z,2025-11-08T13:27:06.000Z,completed,Chick-fil-A® Sandwich Meal,1,Colby Jack Cheese,0.39,"",12.09,22.63,USD
Tampa Bay,Wingstop (1411 34TH ST N.),2025-10-31T23:31:50.000Z,2025-11-01T00:13:46.000Z,completed,10 Wings,1,"Regular Ranch, Regular Bleu Cheese",1.59,"",12.19,41.87,USD
Tampa Bay,Wingstop (1411 34TH ST N.),2025-10-31T23:31:50.000Z,2025-11-01T00:13:46.000Z,completed,10 Wings,1,Louisiana Voodoo Fries,6.99,"",12.19,41.87,USD
Tampa Bay,Wingstop (1411 34TH ST N.),2025-10-31T23:31:50.000Z,2025-11-01T00:13:46.000Z,completed,10 Wings,1,"Garlic Parmesan, Lemon Pepper, 10 Boneless Wings",0.0,"",12.19,41.87,USD
Tampa Bay,Wingstop (1411 34TH ST N.),2025-08-13T14:44:55.000Z,2025-08-13T15:28:57.000Z,completed,6 pc Wing Combo,1,"Ranch, Garlic Parmesan, Bleu Cheese, Lemon Pepper, Seasoned Fries, Coke, 6 pc Boneless Combo",0.0,"",14.19,24.8,USD
Tampa Bay,Wingstop (1411 34TH ST N.),2025-08-13T14:44:55.000Z,2025-08-13T15:28:57.000Z,completed,6 pc Wing Combo,1,32 oz Soft Drink,0.59,"",14.19,24.8,USD
Tampa Bay,Wingstop (1411 34TH ST N.),2025-08-13T14:44:55.000Z,2025-08-13T15:28:57.000Z,completed,6 pc Wing Combo,1,Louisiana Voodoo Fries,2.89,"",14.19,24.8,USD
Tampa Bay,Fresh Kitchen (St. Pete),2025-07-06T17:42:08.000Z,2025-07-06T18:52:06.000Z,completed,Four Bowl,1,HERB BALSAMIC VINAIGRETTE - DF/GF/SF/V,0.39,"",13.99,38.48,USD
Tampa Bay,Fresh Kitchen (St. Pete),2025-07-06T17:42:08.000Z,2025-07-06T18:52:06.000Z,completed,Six Bowl,1,PICO DE GALLO - DF/GF/SF/V,0.69,"",17.69,38.48,USD
Tampa Bay,Fresh Kitchen (St. Pete),2025-07-06T17:42:08.000Z,2025-07-06T18:52:06.000Z,completed,Four Bowl,1,CUCUMBER SALAD - DF/GF/SF/V,1.29,"",13.99,38.48,USD
Tampa Bay,Fresh Kitchen (St. Pete),2025-07-06T17:42:08.000Z,2025-07-06T18:52:06.000Z,completed,Six Bowl,1,"HERB BALSAMIC VINAIGRETTE - DF/GF/SF/V, BROWN RICE - DF/GF/SF/V, BLISTERED GREEN BEANS - DF/GF/SF/V (contains soy), BLACKENED CHICKEN - DF/GF/SF, ADD UTENSILS",0.0,"",17.69,38.48,USD
Tampa Bay,Fresh Kitchen (St. Pete),2025-07-06T17:42:08.000Z,2025-07-06T18:52:06.000Z,completed,Four Bowl,1,"LEMON GARLIC BROCCOLI - DF/GF/SF/V, BAKED ALMOND CHICKEN - DF/GF, CRUNCHY KALE CAESAR - DF/GF/SF/V (contains nuts), CHILLED SWEET POTATO NOODLES - DF/GF/SF/V, HERB BALSAMIC VINAIGRETTE - DF/GF/SF/V, EXTRA SAUCE, ADD UTENSILS",0.0,"",13.99,38.48,USD
