Event Time (UTC),GPS Time (UTC),Horizontal Accuracy,Latitude,Longitude,Speed (GPS),City,Cellular Carrier,Carrier MCC,Carrier MNC,Google Play Services Status,Device ID,IP Address,Device Language,Device Model,Device OS,Device OS Version,Region,Session Start Time (UTC),Analytics Event Type
2026-04-20 20:20:00.970,2026-04-20 20:19:59.999,2.202304530515483,27.77185,-82.65675,0.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-20 20:14:49.183,custom
2026-04-20 20:20:00.973,2026-04-20 20:19:59.999,2.202304530515483,27.77185,-82.65675,0.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-20 20:14:49.183,custom
2026-04-20 20:20:00.961,2026-04-20 20:19:59.999,2.202304530515483,27.77185,-82.65675,0.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-20 20:14:49.183,custom
2026-04-20 20:20:00.960,2026-04-20 20:19:59.999,2.202304530515483,27.77185,-82.65675,0.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-20 20:14:49.183,custom
2026-04-20 20:20:01.004,2026-04-20 20:19:59.999,2.202304530515483,27.77185,-82.65675,0.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-20 20:14:49.183,custom
2026-04-20 20:20:01.043,2026-04-20 20:19:59.999,2.202304530515483,27.77185,-82.65675,0.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-20 20:14:49.183,impression
2026-04-20 20:20:01.037,2026-04-20 20:19:59.999,2.202304530515483,27.77185,-82.65675,0.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-20 20:14:49.183,impression
2026-04-20 20:20:02.096,2026-04-20 20:20:01.999,4.748651530191761,27.77185,-82.65675,0.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-20 20:14:49.183,custom
2026-04-20 20:20:00.989,2026-04-20 20:19:59.999,2.202304530515483,27.77185,-82.65675,0.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-20 20:14:49.183,custom
2026-04-20 20:20:01.043,2026-04-20 20:19:59.999,2.202304530515483,27.77185,-82.65675,0.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-20 20:14:49.183,impression
2026-04-20 20:20:01.043,2026-04-20 20:19:59.999,2.202304530515483,27.77185,-82.65675,0.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-20 20:14:49.183,impression
2026-04-11 02:33:26.604,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,custom
2026-04-11 02:33:26.369,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,impression
2026-04-11 02:33:27.120,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,impression
2026-04-11 02:33:25.912,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,tap
2026-04-11 02:33:25.912,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,tap
2026-04-11 02:33:26.145,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,custom
2026-04-11 02:33:26.147,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,custom
